observed_at,source,activity_id,at,kind,user_id,player_id,amount
2026-08-17T2246Z,laliga,15676725,2026-08-17T22:29:18+02:00,sell,11883172,2621,6655879
2026-08-17T2246Z,laliga,15675946,2026-08-17T22:28:35+02:00,sell,11883172,2963,2951083
2026-08-17T2246Z,laliga,15670859,2026-08-17T22:24:18+02:00,buy,11883172,1337,14992195
2026-08-17T2246Z,laliga,15670845,2026-08-17T22:24:18+02:00,buy,11882956,3109,37157570
2026-08-17T2246Z,laliga,14830073,2026-08-17T00:21:10+02:00,sell,11881989,652,15202722
2026-08-17T2246Z,laliga,14829839,2026-08-17T00:20:40+02:00,sell,11881989,3018,3121862
2026-08-17T2246Z,laliga,14738670,2026-08-16T22:26:26+02:00,sell,11883172,2426,12012022
2026-08-17T2246Z,laliga,14736711,2026-08-16T22:24:29+02:00,buy,11883172,2530,32901000
2026-08-17T2246Z,laliga,14736706,2026-08-16T22:24:29+02:00,buy,11883172,2315,5350000
2026-08-17T2246Z,laliga,13863188,2026-08-15T22:24:05+02:00,buy,11882956,2640,3831432
2026-08-17T2246Z,laliga,13863187,2026-08-15T22:24:05+02:00,buy,11881989,3099,58220110
2026-08-17T2246Z,laliga,13863190,2026-08-15T22:24:05+02:00,buy,11882956,2785,4599626
2026-08-17T2246Z,laliga,13863191,2026-08-15T22:24:05+02:00,buy,3480702,3151,7331515
2026-08-17T2246Z,laliga,13863154,2026-08-15T22:24:04+02:00,buy,3480702,1959,40516387
2026-08-17T2246Z,laliga,12990362,2026-08-14T22:51:29+02:00,sell,3480702,2294,5323361
2026-08-17T2246Z,laliga,12967167,2026-08-14T22:24:09+02:00,buy,11881989,2713,39655832
2026-08-17T2246Z,laliga,12967166,2026-08-14T22:24:09+02:00,buy,11881989,2453,5891526
2026-08-17T2246Z,laliga,12967163,2026-08-14T22:24:09+02:00,buy,11877808,1221,35500000
2026-08-17T2246Z,laliga,12967162,2026-08-14T22:24:09+02:00,buy,11881989,3018,2933863
