observed_at,page,status,seconds
2026-08-19T0911Z,market,200,0.31
2026-08-19T0911Z,points,200,0.07
2026-08-19T0911Z,elo,FAILED,8.11
2026-08-19T0911Z,api_leagues,200,0.20
2026-08-19T0911Z,api_market,200,0.44
2026-08-19T0911Z,api_teams,200,0.60
2026-08-19T0911Z,api_activity_0,200,0.12
2026-08-19T0911Z,api_activity_1,200,0.11
2026-08-19T0941Z,market,200,0.31
2026-08-19T0941Z,points,200,0.10
2026-08-19T0941Z,elo,FAILED,8.09
2026-08-19T0941Z,api_leagues,200,0.21
2026-08-19T0941Z,api_market,200,0.96
2026-08-19T0941Z,api_teams,200,0.60
2026-08-19T0941Z,api_activity_0,200,0.11
2026-08-19T0941Z,api_activity_1,200,0.11
2026-08-19T1018Z,market,200,0.25
2026-08-19T1018Z,points,200,0.06
2026-08-19T1018Z,elo,FAILED,8.06
2026-08-19T1018Z,api_leagues,200,0.21
2026-08-19T1018Z,api_market,200,0.40
2026-08-19T1018Z,api_teams,200,0.61
2026-08-19T1018Z,api_activity_0,200,0.11
2026-08-19T1018Z,api_activity_1,200,0.10
2026-08-19T1245Z,market,200,0.22
2026-08-19T1245Z,points,200,0.05
2026-08-19T1245Z,elo,200,0.14
2026-08-19T1245Z,api_leagues,200,0.19
2026-08-19T1245Z,api_market,200,0.38
2026-08-19T1245Z,api_teams,200,0.53
2026-08-19T1245Z,api_activity_0,200,0.12
2026-08-19T1245Z,api_activity_1,200,0.12
2026-08-19T1454Z,market,200,0.37
2026-08-19T1454Z,points,200,0.07
2026-08-19T1454Z,api_leagues,200,0.19
2026-08-19T1454Z,api_market,200,0.45
2026-08-19T1454Z,api_teams,200,0.72
2026-08-19T1454Z,api_activity_0,200,0.09
2026-08-19T1454Z,api_activity_1,200,0.16
2026-08-19T1639Z,market,200,0.33
2026-08-19T1639Z,points,200,0.08
2026-08-19T1639Z,api_leagues,200,0.20
2026-08-19T1639Z,api_market,200,0.42
2026-08-19T1639Z,api_teams,200,0.48
2026-08-19T1639Z,api_activity_0,200,0.11
2026-08-19T1639Z,api_activity_1,200,0.12
2026-08-19T1750Z,market,200,0.20
2026-08-19T1750Z,points,200,0.07
2026-08-19T1750Z,team_alaves,200,0.05
2026-08-19T1750Z,team_athletic,200,0.06
2026-08-19T1750Z,team_atletico,200,0.08
2026-08-19T1750Z,team_barcelona,200,0.05
2026-08-19T1750Z,team_betis,200,0.05
2026-08-19T1750Z,team_celta,200,0.06
2026-08-19T1750Z,team_deportivo,200,0.09
2026-08-19T1750Z,team_elche,200,0.07
2026-08-19T1750Z,team_espanyol,200,0.06
2026-08-19T1750Z,team_getafe,200,0.07
2026-08-19T1750Z,team_levante,200,0.05
2026-08-19T1750Z,team_malaga,200,0.05
2026-08-19T1750Z,team_osasuna,200,0.04
2026-08-19T1750Z,team_racing,200,0.07
2026-08-19T1750Z,team_rayo-vallecano,200,0.11
2026-08-19T1750Z,team_real-madrid,200,0.05
2026-08-19T1750Z,team_real-sociedad,200,0.05
2026-08-19T1750Z,team_sevilla,200,0.07
2026-08-19T1750Z,team_valencia,200,0.06
2026-08-19T1750Z,team_villarreal,200,0.07
2026-08-19T1750Z,af_alaves,200,0.11
2026-08-19T1750Z,af_athletic,200,0.04
2026-08-19T1750Z,af_atletico,200,0.04
2026-08-19T1750Z,af_barcelona,200,0.03
2026-08-19T1750Z,af_betis,200,0.06
2026-08-19T1750Z,af_celta,200,0.03
2026-08-19T1750Z,af_deportivo,200,0.04
2026-08-19T1750Z,af_elche,200,0.04
2026-08-19T1750Z,af_espanyol,200,0.03
2026-08-19T1750Z,af_getafe,200,0.03
2026-08-19T1750Z,af_levante,200,0.03
2026-08-19T1750Z,af_malaga,200,0.03
2026-08-19T1750Z,af_osasuna,200,0.03
2026-08-19T1750Z,af_racing,200,0.03
2026-08-19T1750Z,af_rayo-vallecano,200,0.05
2026-08-19T1750Z,af_real-madrid,200,0.03
2026-08-19T1750Z,af_real-sociedad,200,0.03
2026-08-19T1750Z,af_sevilla,200,0.03
2026-08-19T1750Z,af_valencia,200,0.03
2026-08-19T1750Z,af_villarreal,200,0.03
2026-08-19T1750Z,af_fixtures,200,0.03
2026-08-19T1750Z,elo,200,0.17
2026-08-19T1750Z,calendario,200,0.09
2026-08-19T1750Z,api_leagues,200,0.20
2026-08-19T1750Z,api_market,200,0.41
2026-08-19T1750Z,api_teams,200,0.58
2026-08-19T1750Z,api_activity_0,200,0.10
2026-08-19T1750Z,api_activity_1,200,0.19
2026-08-19T1823Z,market,200,0.20
2026-08-19T1823Z,points,200,0.06
2026-08-19T1823Z,api_leagues,200,0.27
2026-08-19T1823Z,api_market,200,0.40
2026-08-19T1823Z,api_teams,200,0.50
2026-08-19T1823Z,api_activity_0,200,0.10
2026-08-19T1823Z,api_activity_1,200,0.11
2026-08-19T1823Z,api_player_3036,200,0.01
2026-08-19T1904Z,market,200,0.17
2026-08-19T1904Z,points,200,0.04
2026-08-19T1904Z,api_leagues,200,0.15
2026-08-19T1904Z,api_market,200,0.41
2026-08-19T1904Z,api_teams,200,0.58
2026-08-19T1904Z,api_lineup_38,200,0.13
2026-08-19T1904Z,api_activity_0,200,0.09
2026-08-19T1904Z,api_activity_1,200,0.11
2026-08-19T2220Z,market,200,0.29
2026-08-19T2220Z,points,200,0.06
2026-08-19T2220Z,api_leagues,200,0.17
2026-08-19T2220Z,api_market,200,0.33
2026-08-19T2220Z,api_teams,200,0.54
2026-08-19T2220Z,api_lineup_38,200,0.15
2026-08-19T2220Z,api_activity_0,200,0.10
2026-08-19T2220Z,api_activity_1,200,0.11
2026-08-19T2220Z,api_player_3098,200,0.02
2026-08-19T2220Z,api_player_2455,200,0.02
2026-08-19T2221Z,market,200,0.18
2026-08-19T2221Z,points,200,0.04
2026-08-19T2221Z,api_leagues,200,0.17
2026-08-19T2221Z,api_market,200,0.28
2026-08-19T2221Z,api_teams,200,0.54
2026-08-19T2221Z,api_lineup_38,200,0.13
2026-08-19T2221Z,api_activity_0,200,0.10
2026-08-19T2221Z,api_activity_1,200,0.09
2026-08-19T2307Z,market,200,0.19
2026-08-19T2307Z,points,200,0.05
2026-08-19T2307Z,api_leagues,200,0.22
2026-08-19T2307Z,api_market,200,0.40
2026-08-19T2307Z,api_teams,200,0.58
2026-08-19T2307Z,api_lineup_38,200,0.24
2026-08-19T2307Z,api_activity_0,200,0.10
2026-08-19T2307Z,api_activity_1,200,0.10
2026-08-19T2316Z,market,200,0.20
2026-08-19T2316Z,points,200,0.06
2026-08-19T2316Z,api_leagues,200,0.18
2026-08-19T2316Z,api_market,200,0.36
2026-08-19T2316Z,api_teams,200,0.56
2026-08-19T2316Z,api_lineup_38,200,0.14
2026-08-19T2316Z,api_activity_0,200,0.12
2026-08-19T2316Z,api_activity_1,200,0.10
2026-08-19T2356Z,market,200,0.23
2026-08-19T2356Z,points,200,0.06
2026-08-19T2356Z,team_alaves,200,0.16
2026-08-19T2356Z,team_athletic,200,0.08
2026-08-19T2356Z,team_atletico,200,0.05
2026-08-19T2356Z,team_barcelona,200,0.04
2026-08-19T2356Z,team_betis,200,0.06
2026-08-19T2356Z,team_celta,200,0.07
2026-08-19T2356Z,team_deportivo,200,0.07
2026-08-19T2356Z,team_elche,200,0.09
2026-08-19T2356Z,team_espanyol,200,0.05
2026-08-19T2356Z,team_getafe,200,0.06
2026-08-19T2356Z,team_levante,200,0.06
2026-08-19T2356Z,team_malaga,200,0.06
2026-08-19T2356Z,team_osasuna,200,0.05
2026-08-19T2356Z,team_racing,200,0.12
2026-08-19T2356Z,team_rayo-vallecano,200,0.06
2026-08-19T2356Z,team_real-madrid,200,0.05
2026-08-19T2356Z,team_real-sociedad,200,0.05
2026-08-19T2356Z,team_sevilla,200,0.05
2026-08-19T2356Z,team_valencia,200,0.06
2026-08-19T2356Z,team_villarreal,200,0.08
2026-08-19T2356Z,af_alaves,200,0.12
2026-08-19T2356Z,af_athletic,200,0.03
2026-08-19T2356Z,af_atletico,200,0.03
2026-08-19T2356Z,af_barcelona,200,0.02
2026-08-19T2356Z,af_betis,200,0.03
2026-08-19T2356Z,af_celta,200,0.04
2026-08-19T2356Z,af_deportivo,200,0.02
2026-08-19T2356Z,af_elche,200,0.02
2026-08-19T2356Z,af_espanyol,200,0.03
2026-08-19T2356Z,af_getafe,200,0.03
2026-08-19T2356Z,af_levante,200,0.02
2026-08-19T2356Z,af_malaga,200,0.02
2026-08-19T2356Z,af_osasuna,200,0.03
2026-08-19T2356Z,af_racing,200,0.02
2026-08-19T2356Z,af_rayo-vallecano,200,0.03
2026-08-19T2356Z,af_real-madrid,200,0.03
2026-08-19T2356Z,af_real-sociedad,200,0.03
2026-08-19T2356Z,af_sevilla,200,0.02
2026-08-19T2356Z,af_valencia,200,0.02
