observed_at,player,value,start_pct
2026-08-14T20:48Z,alex freeman,2478421,30
2026-08-14T20:48Z,arda guler,51282413,60
2026-08-14T20:48Z,ayoze perez,16818596,50
2026-08-14T20:48Z,Bright Ede,,60
2026-08-14T20:48Z,clemens riedel,4657417,50
2026-08-14T20:48Z,dani vivian,11138189,30
2026-08-14T20:48Z,Facundo Buonanotte,,40
2026-08-14T20:48Z,ferran jutgla,9374049,80
2026-08-14T20:48Z,giacomo quagliata,3285663,50
2026-08-14T20:48Z,ilaix moriba,10245914,50
2026-08-14T20:48Z,marc roca,5334336,60
2026-08-14T20:48Z,mario martin,3743424,80
2026-08-14T20:48Z,matias dituro,7297239,90
2026-08-14T20:48Z,oriol rey,741966,50
2026-08-14T20:48Z,pablo fornals,58303775,80
2026-08-14T20:48Z,pedro bigas,5298333,50
2026-08-14T20:48Z,pelayo fernandez,1722279,50
2026-08-14T20:48Z,quilindschy hartman,9052099,50
2026-08-14T20:48Z,santiago mouriño,40597493,70
2026-08-14T20:48Z,wojciech szczesny,2398211,20
2026-08-14T20:48Z,zakaria eddahchouri,1906239,30
2026-08-14T21:57Z,alex freeman,2478421,30
2026-08-14T21:57Z,arda guler,51282413,60
2026-08-14T21:57Z,ayoze perez,16818596,50
2026-08-14T21:57Z,Bright Ede,,60
2026-08-14T21:57Z,clemens riedel,4657417,50
2026-08-14T21:57Z,dani vivian,11138189,30
2026-08-14T21:57Z,Facundo Buonanotte,,40
2026-08-14T21:57Z,ferran jutgla,9374049,80
2026-08-14T21:57Z,giacomo quagliata,3285663,50
2026-08-14T21:57Z,ilaix moriba,10245914,50
2026-08-14T21:57Z,marc roca,5334336,60
2026-08-14T21:57Z,mario martin,3743424,80
2026-08-14T21:57Z,matias dituro,7297239,90
2026-08-14T21:57Z,oriol rey,741966,50
2026-08-14T21:57Z,pablo fornals,58303775,80
2026-08-14T21:57Z,pedro bigas,5298333,50
2026-08-14T21:57Z,pelayo fernandez,1722279,50
2026-08-14T21:57Z,quilindschy hartman,9052099,50
2026-08-14T21:57Z,santiago mouriño,40597493,70
2026-08-14T21:57Z,wojciech szczesny,2398211,20
2026-08-14T21:57Z,zakaria eddahchouri,1906239,30
2026-08-15T07:02Z,alex freeman,2446170,30
2026-08-15T07:02Z,arda guler,51979704,60
2026-08-15T07:02Z,ayoze perez,17044355,50
2026-08-15T07:02Z,Bright Ede,,60
2026-08-15T07:02Z,clemens riedel,4599626,50
2026-08-15T07:02Z,dani vivian,10819933,30
2026-08-15T07:02Z,Facundo Buonanotte,,40
2026-08-15T07:02Z,ferran jutgla,9457860,80
2026-08-15T07:02Z,giacomo quagliata,3270037,50
2026-08-15T07:02Z,ilaix moriba,10169057,50
2026-08-15T07:02Z,marc roca,5350068,60
2026-08-15T07:02Z,mario martin,3831432,80
2026-08-15T07:02Z,matias dituro,7483749,90
2026-08-15T07:02Z,oriol rey,734196,50
2026-08-15T07:02Z,pablo fornals,57927383,80
2026-08-15T07:02Z,pedro bigas,5173960,50
2026-08-15T07:02Z,pelayo fernandez,1722279,50
2026-08-15T07:02Z,quilindschy hartman,8887784,50
2026-08-15T07:02Z,santiago mouriño,40479623,70
2026-08-15T07:02Z,wojciech szczesny,2352050,20
2026-08-15T07:02Z,zakaria eddahchouri,1880948,30
2026-08-15T07:20Z,alex freeman,2446170,30
2026-08-15T07:20Z,arda guler,51979704,60
2026-08-15T07:20Z,ayoze perez,17044355,50
2026-08-15T07:20Z,Bright Ede,,60
2026-08-15T07:20Z,clemens riedel,4599626,50
2026-08-15T07:20Z,dani vivian,10819933,30
2026-08-15T07:20Z,Facundo Buonanotte,,40
2026-08-15T07:20Z,ferran jutgla,9457860,80
2026-08-15T07:20Z,giacomo quagliata,3270037,50
2026-08-15T07:20Z,ilaix moriba,10169057,50
2026-08-15T07:20Z,marc roca,5350068,60
2026-08-15T07:20Z,mario martin,3831432,80
2026-08-15T07:20Z,matias dituro,7483749,90
2026-08-15T07:20Z,oriol rey,734196,50
2026-08-15T07:20Z,pablo fornals,57927383,80
